CompanyName,Sector
3D Diagnostix,Healthcare and Medical Services
3D Diagnostix,Medical Devices and Supplies
Tokio Marine Egypt General,Insurance
IQRA Network,Education
IQRA Network,E-Learning
SURE International Technology,Information Technology Services
Premium Card,Financial Services
IT Pillars,Information Technology Services
Pillars,Human Resources
Pillars,Recruitment and Staffing
ElMotaheda Web ,Information Technology Services
ElMotaheda Web ,Internet/E-commerce
Agolo Egypt,Computer Software
OdooTec,Computer Software
OdooTec,Information Technology Services
OdooTec,Consulting Services
Elev8Assessments,Human Resources
Horizon Agency,Marketing and Advertising
Horizon Agency,Computer Software
Horizon Agency,Media Production
EEC Group,Construction - Industrial Facilities and Infrastructure
Nour Eldin Elsherif for Trading vehicles,Automotive
Nour Eldin Elsherif for Trading vehicles,Retail
AGG information technology,Information Technology Services
MICA,Education
MICA,Training and Coaching
Mass Technology,Computer Software
SevenCodeApps,Marketing and Advertising
SevenCodeApps,Computer Software
SevenCodeApps,Information Technology Services
intrazero,Computer Software
AFFSQUARE,Marketing and Advertising
Egast,Agriculture/Fishing/Farming
Smartverse,FMCG
Smartverse,Retail
Ahmed El-Sallab,Retail
Finiex Soft ,Marketing and Advertising
Finiex Soft ,Computer Software
Finiex Soft ,Information Technology Services
Gamers Lounge,Marketing and Advertising
Gamers Lounge,Computer Games
Gamers Lounge,Entertainment
Dynamicslink,Information Technology Services
TTC Technologies,Computer Software
TTC Technologies,Manufacturing
TTC Technologies,Research
Mazaya,Apparel and Fashion
Mazaya,Retail
SE Wiring Systems EGYPT,Automotive
SMARTTEL,Security and Surveillance
SMARTTEL,Telecommunications
Injaz Tech for advanced systems,Computer and Network Security
Injaz Tech for advanced systems,Computer Software
Injaz Tech for advanced systems,Information Technology Services
EELU,Higher Education
EELU,Education
EELU,Training and Coaching
TRIMETIS,Information Technology Services
Intercept Technologies,Marketing and Advertising
Intercept Technologies,Internet/E-commerce
Intercept Technologies,Photography
Elhazek Construction,Construction - Residential & Commercial/Office
ITS ,Computer Software
Midea Group,Electronics and Semiconductors
Nerva,Computer Software
Nerva,Information Technology Services
Nerva,Management Consulting
Erada,Financial Services
As-Salam International Hospital,Healthcare and Medical Services
Art Link,Computer Networking
Art Link,Publishing and Printing
Centione,Marketing and Advertising
 Roaya,Information Technology Services
DX Republic,Computer and Network Security
DX Republic,Computer Software
DX Republic,Information Technology Services
ثقة الانجاز,Computer Software
ثقة الانجاز,Legal Services
Basata,Computer Software
Basata,Information Technology Services
EAST ,Engineering Services
Holix,Information Technology Services
365 Ecology,Construction - Industrial Facilities and Infrastructure
365 Ecology,Construction - Residential & Commercial/Office
365 Ecology,Engineering Services
Estafsar,Information Technology Services
Estafsar,Insurance
Youxel,Information Technology Services
(MSA) October University,Education
DIRAC SYSTEMS,Information Technology Services
NAGADA,Textile and Clothing
Egypt Bakery Stores,Food and Beverage Production
Shifa Egypt,Healthcare and Medical Services
Furqan Group for Education & IT,Information Technology Services
Furqan Group for Education & IT,Education
Furqan Group for Education & IT,E-Learning
Forasna,Business Services - Other
Forasna,Human Resources
CompactSoft International ,Computer Software
CompactSoft International ,Information Technology Services
EDRAK Software,Computer Software
Rednet It Services,Computer Software
Rednet It Services,Information Technology Services
Vzadi.com,Computer and Network Security
Ibn Sina Pharma,Logistics and Supply Chain
Ibn Sina Pharma,Pharmaceuticals
Silicon21,Computer Networking
Silicon21,Information Technology Services
COREations,Marketing and Advertising
COREations,Information Technology Services
A1Softech,Computer Software
A1Softech,Information Technology Services
Ethos International School,Education
Target Integrated Systems,Information Technology Services
Sierra Engineering & Manufacturing,Manufacturing
Mc Ledger,Accounting and Auditing Services
Mc Ledger,Information Technology Services
Afaqy,Automotive
Afaqy,Computer Software
Afaqy,Information Technology Services
Mantrac,Construction - Industrial Facilities and Infrastructure
Mantrac,Retail
Sprints.ai,Automotive
Sprints.ai,Computer Software
Sprints.ai,Education
"Izam, inc.",Computer Software
Delivery-tech,Marketing and Advertising
Delivery-tech,Information Technology Services
Arlation Media Services,Broadcasting and Film
Arlation Media Services,Media Production
Arlation Media Services,Translation and Localization
Kellogg Tolaram Noodles Egypt LLC,FMCG
Promech Engineering,Engineering Services
GEMS Education,Education
TIC,Construction - Industrial Facilities and Infrastructure
Mercury Visual Solutions ,Media Production
e Aswaaq Misr,Internet/E-commerce
EpsilonAI,Computer Software
EpsilonAI,Training and Coaching
Smartly,Information Technology Services
Puzzle,Marketing and Advertising
Puzzle,Business Services - Other
Puzzle,Information Technology Services
Crevisoft Corporation,Computer Software
Crevisoft Corporation,Information Technology Services
Crevisoft Corporation,Internet/E-commerce
Melco-Mec Egypt for Elevators & Escalators - Mitsubishi,Engineering Services
Optasia,Computer Software
Optasia,Information Technology Services
Optasia,Telecommunications
Health Insights Group,"Health, Wellness and Fitness"
LINK Development,Information Technology Services
Eg Insurtech,Computer Software
Nile Projects & Trading,Apparel and Fashion
Nile Projects & Trading,Automotive
InitRes,Information Technology Services
RUSHBRUSH INC,Consumer Electronics
RUSHBRUSH INC,Internet/E-commerce
TensorGraph,Computer Software
iNetwork Solutions,Computer and Network Security
iNetwork Solutions,Computer Networking
iNetwork Solutions,Information Technology Services
Sulfah,Financial Services
Sulfah,Internet/E-commerce
Mimocodes,Computer Software
Mimocodes,Information Technology Services
Mimocodes,Graphic Design
Spatium Software,Computer Software
Spatium Software,Information Technology Services
Royal Investment,Other - Not Classified
Naia Developments,Real Estate/Property Management
Shotmed,Construction - Industrial Facilities and Infrastructure
Procoor,Computer Software
Procoor,Electronics and Semiconductors
Procoor,Engineering Services
Roya Developments,Real Estate/Property Management
TechAdemics,Engineering Services
TechAdemics,Education
Options,Outsourcing/Offshoring
Alexandria For Programming,Computer Software
Alexandria For Programming,Information Technology Services
Zawaya,Business Supplies and Equipment
Zawaya,Engineering Services
etisal for advanced industries ,Manufacturing
Glamera,Information Technology Services
Glamera,"Health, Wellness and Fitness"
Glamera,Personal Care and Services
Town Team,Apparel and Fashion
Town Team,Retail
INDEVCO,Manufacturing
Enegix,Business Services - Other
Enegix,Information Technology Services
Johnson Controls,Engineering Services
Transmar International ,Other - Not Classified
Queen Tech Solutions,Computer Software
Queen Tech Solutions,Information Technology Services
Marketopia,Marketing and Advertising
Marketopia,Media Production
Techno Management,Information Technology Services
Kashier Payment Solutions,Information Technology Services
Kashier Payment Solutions,Financial Services
Asass,Construction - Industrial Facilities and Infrastructure
Air Arabia,Airlines/Aviation
Guestna,Travel and Tourism
Dubai Egypt Sweden,Real Estate/Property Management
Universities of Canada in Egypt,Higher Education
alfanar,Construction - Industrial Facilities and Infrastructure
alfanar,Energy and Utilities
alfanar,Management Consulting
Zamil Steel Buildings Co,Construction - Industrial Facilities and Infrastructure
Zamil Steel Buildings Co,Mining and Metals
Masria Digital Payment (MDP),Banking
Masria Digital Payment (MDP),Information Technology Services
Masria Digital Payment (MDP),Manufacturing
Sequel Solutions,Outsourcing/Offshoring
Softxpert Incorporation ,Information Technology Services
TA telecom,Information Technology Services
TA telecom,Telecommunications
FRIDAL,Chemicals
FRIDAL,FMCG
Interactive Limited/Carma Group,Other - Not Classified
Moltaqa,Marketing and Advertising
Moltaqa,Computer Software
Moltaqa,Information Technology Services
Edu-Zone,Education
El Mohandess Print House,Manufacturing
El Mohandess Print House,Publishing and Printing
Seoudi Supermarket,Retail
Khales,Financial Services
Tartoussieh Engineering & Trading Co,Engineering Services
El Teriak Industrial Group,Agriculture/Fishing/Farming
El Teriak Industrial Group,Automotive
El Teriak Industrial Group,Manufacturing
Fintech solutions,Business Services - Other
Fintech solutions,Information Technology Services
Fintech solutions,Financial Services
Bright Vision  ,Computer Games
Bright Vision  ,Computer Software
Aman,Retail
Upwyde,Real Estate/Property Management
EFS,Marine Manufacturing & Services
EFS,Recreational Facilities and Services
LoadServ,Computer Software
SHAWAHID ROADS INDUSTRIAL COMPANY ,Construction - Industrial Facilities and Infrastructure
Objects,Information Technology Services
NCR,Financial Services
Arabian Systems,Computer Software
2oolAmeme,Computer Games
2oolAmeme,Entertainment
2oolAmeme,Internet/E-commerce
Elkenany Group,Marketing and Advertising
Elkenany Group,Agriculture/Fishing/Farming
Elkenany Group,Veterinary
Orient,Chemicals
Mazloum Real Estate,Real Estate/Property Management
PICO,Agriculture/Fishing/Farming
Alstom,Transportation
Premier Services and Recruitment Overseas ,Recruitment and Staffing
Al Ahly Medical Company,Healthcare and Medical Services
Al Ahly Medical Company,Insurance
British University of Egypt,Education
PSH,Computer Software
PSH,Consulting Services
"Do Localize, Ltd.",Translation and Localization
Impactyn,Information Technology Services
"The Micro, Small & Medium Enterprise Development Agency ",Business Services - Other
"The Micro, Small & Medium Enterprise Development Agency ",Financial Services
"The Micro, Small & Medium Enterprise Development Agency ",Non-Profit Organizations
INTERPAC,Paper and Forest Products
New Plan ,Real Estate/Property Management
El Khamis Hydraulic Company ,Import and Export
Signature Technology DMCC,Internet/E-commerce
Advanced Solutions,Information Technology Services
Al Amin Technological Systems,Banking
Al Amin Technological Systems,Investment Banking
Khodar.com,Internet/E-commerce
Khodar.com,Retail
engineering tracks,Education
engineering tracks,Training and Coaching
TMA For Industrial Supplies,Engineering Services
Alumil,Construction - Industrial Facilities and Infrastructure
شيلتر تكنولوجي,Computer Software
شيلتر تكنولوجي,Information Technology Services
Fawry Microfinance ,Accounting and Auditing Services
ZINAD IT,Information Technology Services
RTR Software Solutions ,Computer Software
RTR Software Solutions ,Information Technology Services
Micro Engineering,Computer Software
Micro Engineering,Energy and Utilities
Micro Engineering,Engineering Services
iSON Xperiences Egypt,Outsourcing/Offshoring
Intelcia,Telecommunications
Ether Technology,Information Technology Services
Delta American School ,Education
Indegree,Marketing and Advertising
Indegree,Computer Software
Indegree,Information Technology Services
Economic Group ,Food and Beverage Production
Economic Group ,Human Resources
Max Muscle,"Health, Wellness and Fitness"
Max Muscle,Healthcare and Medical Services
Max Muscle,Retail
BRISK Business Inc.,Management Consulting
BRISK Business Inc.,Training and Coaching
Orange Studio,Computer Software
InstaShop,Internet/E-commerce
Loc-Camp,Translation and Localization
Sinmar Soft ,Computer Software
Post Distribution Company ,Logistics and Supply Chain
Post Distribution Company ,Recruitment and Staffing
DAK Steel - Construction,Construction - Industrial Facilities and Infrastructure
Synergy Markets,Financial Services
Seena - سينا,Financial Services
Target Recruitment  & HR Solutions ,Human Resources
EVA Cosmetics ,Cosmetics
شركه طنطا موتورز,Engineering Services
شركه طنطا موتورز,Manufacturing
شركه طنطا موتورز,Wholesale Trade
Solutions,Marketing and Advertising
Mohandes Life Insurance ,Insurance
Windrose Academy,Education
Sweet Memory travel,Travel and Tourism
cCc callcenter and Digital Marketing,Marketing and Advertising
cCc callcenter and Digital Marketing,Outsourcing/Offshoring
Rubyred Garment,Manufacturing
ORGANI GROUP,Construction - Residential & Commercial/Office
ORGANI GROUP,Import and Export
ORGANI GROUP,Real Estate/Property Management
altameerarabian,Real Estate/Property Management
Order King,Other - Not Classified
Multi Level Group (MLG),Information Technology Services
Interact Technology Solutions,Computer and Network Security
Interact Technology Solutions,Computer Software
Interact Technology Solutions,Information Technology Services
Integrated Technology Group,Computer Software
Shahbandr,Marketing and Advertising
Shahbandr,Computer Software
Shahbandr,Retail
appcorp,Information Technology Services
appcorp,Telecommunications
Majorel Egypt,Outsourcing/Offshoring
Quick Services,Computer Software
Quick Services,Information Technology Services
Balanced Education Company,Education
Balanced Education Company,Training and Coaching
Waseet.net,Marketing and Advertising
Waseet.net,Computer Software
Waseet.net,Retail
Jaffangroup,FMCG
Jaffangroup,Food and Beverage Production
Millensys,Computer Software
Dolf,Information Technology Services
British Council,Higher Education
British Council,Education
British Council,Training and Coaching
Egypt Kuwait Holding,Investment Banking
Crowe Egypt - Dr Khaled Abdelaziz Hegazy,Accounting and Auditing Services
Crowe Egypt - Dr Khaled Abdelaziz Hegazy,Financial Services
Crowe Egypt - Dr Khaled Abdelaziz Hegazy,Consulting Services
Parkville Pharmaceuticals,Pharmaceuticals
Peerless,Marketing and Advertising
Peerless,Computer Software
Peerless,Information Technology Services
Al Rabat,Construction - Industrial Facilities and Infrastructure
Al Rabat,Construction - Residential & Commercial/Office
Al Rabat,Real Estate/Property Management
Lecon,Architectural and Design Services
Lecon,Engineering Services
taknia systems,Computer Software
The Portal,Marketing and Advertising
The Portal,Computer Software
The Portal,Internet/E-commerce
Elfostat Company for import and export,Import and Export
Ascon Advanced Solutions & Consultant,Computer Software
Ascon Advanced Solutions & Consultant,Information Technology Services
Finding From Egy ,Marketing and Advertising
Finding From Egy ,Agriculture/Fishing/Farming
Finding From Egy ,Food and Beverage Production
Al Soug-Cashi,Computer Software
Konnekt Union,Information Technology Services
Shebak,Information Technology Services
Sky Distribution,Consumer Services
Sky Distribution,Logistics and Supply Chain
Sky Distribution,Retail
Egyptian Integration,Computer Software
Horizon Not Verified,Recruitment and Staffing
Selftreat,Computer Software
Thaka International,Information Technology Services
INTERNET SOLUTIONS,Internet/E-commerce
HandleT,Computer Software
Pioneers Now,Marketing and Advertising
Advansys for Trading & Contracting,Engineering Services
Dawi Clinics,Healthcare and Medical Services
Caduceus Lane,Marketing and Advertising
Caduceus Lane,Healthcare and Medical Services
Caduceus Lane,Pharmaceuticals
Onecard,Internet/E-commerce
Webhelp,Outsourcing/Offshoring
Webhelp,Recruitment and Staffing
Etisal EG,Consumer Electronics
Etisal EG,Retail
Etisal EG,Telecommunications
Itechs,Computer and Network Security
Itechs,Computer Software
Itechs,Information Technology Services
Digital Hub,Computer Software
Digital Hub,Information Technology Services
Digital Hub,Consulting Services
FlexFilms Egypt,Manufacturing
FlexFilms Egypt,Packaging and Containers
FlexFilms Egypt,Plastics
MOOLA,Information Technology Services
MOOLA,Financial Services
Hanimex,Furniture
Hanimex,Manufacturing
Brilliant Engineering,Engineering Services
Brilliant Engineering,Logistics and Supply Chain
Software House Solution ,Computer Hardware
Software House Solution ,Computer Networking
Software House Solution ,Computer Software
Firoz Group,Engineering Services
Firoz Group,Import and Export
Firoz Group,Manufacturing
Staron Egypt,Architectural and Design Services
Staron Egypt,Construction - Industrial Facilities and Infrastructure
Tamayouz Development and Training Company,Education
Tamayouz Development and Training Company,E-Learning
Elsewedy industries,Manufacturing
Elsewedy industries,Real Estate/Property Management
Elsewedy industries,Retail
Safa Soft,Marketing and Advertising
Safa Soft,Computer Software
Safa Soft,Information Technology Services
Elite Technology Based,Computer and Network Security
Elite Technology Based,Computer Hardware
Elite Technology Based,Information Technology Services
StudentGator,Information Technology Services
StudentGator,Education
Aman Holding,Financial Services
Aman Holding,Healthcare and Medical Services
Aman Holding,Retail
Data Science,Information Technology Services
Rowaad,Computer Software
Extend | The Ad Network,Marketing and Advertising
Bluebell Pharmaceuticals ,Cosmetics
Bluebell Pharmaceuticals ,Pharmaceuticals
IT Cores,Business Services - Other
IT Cores,Computer Software
IT Cores,Information Technology Services
The Translation Gate,Translation and Localization
Grifols Egypt for Plasma Derivatives,Healthcare and Medical Services
Grifols Egypt for Plasma Derivatives,Pharmaceuticals
webSTDY,Computer Software
webSTDY,Information Technology Services
UMX Studio,Computer Games
Ulemt,Marketing and Advertising
Ulemt,Banking
Ulemt,Financial Services
Human Quality,Human Resources
Anspire Agency,Marketing and Advertising
Anspire Agency,Graphic Design
ZE LOGIC,Information Technology Services
PyramidBITS,Business Services - Other
PyramidBITS,Computer and Network Security
PyramidBITS,Information Technology Services
e-finance,Financial Services
ESLSCA University,Higher Education
ESLSCA University,Education
Selah ElTelmeez For Publishing & printing,Education
Selah ElTelmeez For Publishing & printing,Publishing and Printing
Selah ElTelmeez For Publishing & printing,E-Learning
Elabd Foods,FMCG
Elabd Foods,Food and Beverage Production
Ditech Egypt,Information Technology Services
Be Group,Marketing and Advertising
GPS,Publishing and Printing
Coral Technology,Computer Software
AL MASHARIQ ,Construction - Residential & Commercial/Office
AL MASHARIQ ,Energy and Utilities
VFS Global Egypt,Travel and Tourism
Hands of Hope Physical Therapy & Wellness,Healthcare and Medical Services
Cybersec consulting,Information Technology Services
Royal Cyber,Information Technology Services
شركة توصيل الخليجية للتجارة,Food Services/Restaurants/Catering
Orevan,Marketing and Advertising
Ebla,Computer Software
Ebla,Information Technology Services
Cepack,Packaging and Containers
National Technology,Information Technology Services
URANIUM,Information Technology Services
Talaat Moustafa Group,Real Estate/Property Management
Talaat Moustafa Group,Retail
Dreem Mashreq Foods ,FMCG
YDS yasar digital services ,Computer Software
YDS yasar digital services ,Information Technology Services
Elite Education Group,Education
