CompanyName,JobTitle,DatePosted,JobType,Status,Country,City,Region,MinimumExperience,MaximumExperience,MinimumSalary,MaximumSalary,EducationLevel,CareerLevel,JobDescription,JobRequirements,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Link Datacenter,SOC Analyst,17/10/2023,Full Time,Open,Egypt,Giza,null,0,1,0,0,null,Entry Level (Junior Level / Fresh Grad),"Detect, fingerprint, and mitigate cyber threats on a per-event basis
Participate in projects specific to Security Operations Center roadmap
Perform security incident analysis and recommend remediation steps
Work escalations from SOC analysts to completion in ticket tracking system
Create rules, filters, active channels, queries, trends and all other informational content based on use cases
Communicate and collaborate with security operations center analysts to optimize SIEM solution performance to better meet the needs of operations
Tune correlation rules and event data quality to maximize SIEM system efficiency
Provide support, recommendations and optimization for the SIEM platform
Interface with onsite clients to understand the quality aspects and expectations, as needed","Bachelor’s degree in IT, or related field of study preferred; MS degree is a plus.
At least 2 years of experience within a Security Operations Environment or 2+ years of experience in Network Operations Center.
Good knowledge of Various Security Technologies
Experience with Security Information and Event Management (SIEM) tools
Experience in event monitoring, correlation, event analysis, investigation and remediation of security events.
Proven Knowledge and expertise in SIEM administration tasks including troubleshooting of various SIEM components
Experience in managing multiple SOC customers.
Information security certifications, Professional Security certification is a plus (SSCP, GSEC, CIHE, GCIH, CEH, or equivalent)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSC,Senior NET Developer,17/10/2023,Full Time,Open,Egypt,Giza,Dokki,3,7,20000,40000,null,Experienced (Non-Manager),"Analyze system requirements and prioritize tasks
Write clean, testable code using .NET programming languages
Develop technical specifications and architecture
Test and debug various .NET applications
Review and refactor code
Deploy fully functional applications
Upgrade existing programs
Support junior developers’ work
Document development and operational procedures
.NET Core
Angular 10+
Apb.io Framework preferred
DDD & CQRS
Microservices
Api getaway
EF Core","Work experience as a .NET Developer
Proficiency in building web-based applications
In-depth knowledge of at least one of the .NET languages (like C#)
Familiarity with agile environments
Troubleshooting abilities
Good communication skills
BSc in Computer Science, Engineering or relevant field",,,,,,,,,,,,,,,,,,,,,,,,,,,,
ثقة الانجاز,Senior Flutter Developer,17/10/2023,Full Time,Open,Egypt,Cairo,New Cairo,3,null,null,null,Bachelor's Degree,Experienced (Non-Manager),"At Wtheq, we are dedicated to providing innovative solutions and services to meet the growing demands of the Saudi market. As we expand our operations, we are looking to hire talented individuals to join our team.
As part of our commitment to creating a supportive and collaborative work environment, we offer our employees high-end PCs with dual screens to enhance productivity.  
Our office is located in a premium location at Cairo Festival City CFC, providing a comfortable and modern workspace.  
In terms of compensation, we offer competitive salaries in either USD or SAR, Medical, Social Insurance, and Transportation Allowance. 
Job Description: 
Building multi-platform applications for Android and iOS using the Flutter development framework 
Ensuring consistency between the delivered product features and the requirements/criteria of the business.
Develop mobile applications for iOS and Android platforms using React Native or Swift.
Collaborate with cross-functional teams to gather requirements and design application architecture.
Write clean, maintainable, and efficient code for mobile apps.
Conduct testing and debugging to ensure the functionality and performance of mobile applications.
Integrate with backend services and APIs.
Stay updated with the latest mobile app development trends and best practices.","3+ years of experience.
Bachelor’s degree in Computer science, or Computer Engineering or any relevant field is preferred.
Very Good command of the English language.
Very good Interpersonal skills, written, and verbal communication skills.
Experience developing mobile applications for iOS and Android platforms using React Native or Swift.
Proficiency in JavaScript, React Native, and related libraries 
Knowledge of mobile app development principles, including UI/UX, performance optimization, and security.
Familiarity with RESTful APIs and integration of third-party libraries.
Understanding of version control systems (e.g., Git).",,,,,,,,,,,,,,,,,,,,,,,,,,,,
ثقة الانجاز,Senior Quality Control Engineer,17/10/2023,Full Time,Open,Egypt,Cairo,New Cairo,3,null,null,null,Bachelor's Degree,Experienced (Non-Manager),"At Wtheq, we are dedicated to providing innovative solutions and services to meet the growing demands of the Saudi market. As we expand our operations, we are looking to hire talented individuals to join our team.
As part of our commitment to creating a supportive and collaborative work environment, we offer our employees high-end PCs with dual screens to enhance productivity.  
Our office is located in a premium location at Cairo Festival City CFC, providing a comfortable and modern workspace.  
In terms of compensation, we offer competitive salaries in either USD or SAR, Medical, Social Insurance, and Transportation Allowance. 
Job Description: 
Develop and execute Automation tests cases and test automation scripts
Investigate the product and effectively identify where breakage may occur
Perform all testing activities, including bug reporting and retesting, root-cause analysis, regression testing and acceptance testing
Review functional specifications and participate in the product design process
Estimate, prioritize and plan testing activities
Generate status reports and summarize testing progress in project team meetings
Monitor other team members and work with team leads on developing their technical and interpersonal skills
Implement, track, and report key metrics to assure full coverage of functional and non-functional requirements
Receive and handle issues reported externally","3+ years of experience.
Bachelor’s degree in Computer science, or Computer Engineering or any relevant field is preferred.
Very Good command of the English language.
Very good Interpersonal skills, written, and verbal communication skills.
Experience in automation testing",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spark Systems,Flutter Developer (Mid-Level),17/10/2023,Full Time,Closed,Egypt,Giza,Sheikh Zayed,1,3,null,null,Bachelor's Degree,Experienced (Non-Manager),"We are looking for a Flutter developer for Immediate hiring
Work location: El-Sheikh Zayed - Giza
Responsibilities
Build intuitive, engaging, and progressive user interactions for mobile apps
Delivers well-defined features of small to medium complexity on a regular basis.
Debug and fix issues in development, testing, and production.
Participate in software design for features and bug fixes.","Qualifications
Bachelor’s degree in computer science, information technology, or engineering
Previous working experience as a Mobile developer for 1-3 years
BSc in Computer Science or a similar relevant field
Strong knowledge of OOP design principles
Strong knowledge of SOLID principles
Familiarity with common Design patterns
Strong knowledge of architectural patterns like MVP, MVC, MVVM, MVI
Familiarity with version control like git
At least one application released on the App Store or Google Play
Deep knowledge of iOS and Android and their SDKs
Strong knowledge of cross-platform mobile development frameworks Flutter
In-depth knowledge of programming languages such as Dart, Java, and Swift
Familiarity with RESTful APIs and portable libraries for networking",,,,,,,,,,,,,,,,,,,,,,,,,,,,
El-Sewedy Electrometer,Senior Full Stack Developer,17/10/2023,Full Time,Open,Egypt,Giza,6th of October,4,8,null,null,Bachelor's Degree,Experienced (Non-Manager),"Provide development, enhancement, troubleshooting and maintenance for software applications
Write clean and testable code
Review and approve code changes
Identifying, troubleshooting and debugging defects in designated application code
Provides technical/engineering support for new and existing applications.
Participate in activities accordingly to ensure on time implementation deliverables are met including day-to-day planning and coordination with other stakeholders.
Provides reasonable task and project effort estimates.
Ensure timely, effective, and quality delivery of software into testing and production environments.
Creates required technical documentation.
Collaboratively work with business representatives to define requirements and develop technical specifications.
Analyze system requirements and prioritize tasks
Support junior engineers","Work experience with the development of applications in C# .Net
Work experience with .Net 4.x and .Net Core (C#)
Work experience with ASP.Net MVC, C#, Linq, and the Entity Framework
Work experience with MS SQL Server
Knowledge of HTML, CSS, Javascript, Jquery, and Typescript
Knowledge of Angular 6+
Knowledge of applying design patterns
Knowledge of building Rest web services
Good Knowledge in Unit Testing
Good Knowledge in Architecture patterns (N-Tier, Onion)
Good Knowledge in Git Source Control
Knowledge of the following is a plus:
Nodejs
Oracle – PL/SQL
NoSQL
Docker
OWASP of web application security
DDD Architecture
Micro-service Architecture",,,,,,,,,,,,,,,,,,,,,,,,,,,,
ثقة الانجاز,Senior Backend Developer,17/10/2023,Full Time,Open,Egypt,Cairo,New Cairo,3,null,null,null,Bachelor's Degree,Experienced (Non-Manager),"At Wtheq, we are dedicated to providing innovative solutions and services to meet the growing demands of the Saudi market. As we expand our operations, we are looking to hire talented individuals to join our team.
As part of our commitment to creating a supportive and collaborative work environment, we offer our employees high-end PCs with dual screens to enhance productivity.  
Our office is located in a premium location at Cairo Festival City CFC, providing a comfortable and modern workspace.  
In terms of compensation, we offer competitive salaries in either USD or SAR, Medical, Social Insurance, and Transportation Allowance. 
Job Description: 
Take part in designing, building, and maintaining our highly platforms
Tackle new challenges in different system areas (architecture, access control, data handling, caching, performance tuning).
Take ownership of new features and modules; study them, and work on them along with other teammates.
Develop functional and sustainable web applications with clean codes.
Collaborate with the front-end team and other stakeholders to establish objectives and design more functional, cohesive codes to enhance our user experience.
Remove the errors and bugs in the applications and make them better for the user.
Manage and review code contributed by the rest of the team and work with them to get it ready for production
Assist with other related tasks as required","3+ years of experience.
Bachelor’s degree in Computer science, or Computer Engineering or any relevant field is preferred.
Very Good command of the English language.
Very good Interpersonal skills, written, and verbal communication skills.
Deep knowledge of Node.js, and wide experience with Laravel framework.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
ثقة الانجاز,Senior Frontend Developer,17/10/2023,Full Time,Open,Egypt,Cairo,New Cairo,3,null,null,null,Bachelor's Degree,Experienced (Non-Manager),"At Wtheq, we are dedicated to providing innovative solutions and services to meet the growing demands of the Saudi market. As we expand our operations, we are looking to hire talented individuals to join our team.
As part of our commitment to creating a supportive and collaborative work environment, we offer our employees high-end PCs with dual screens to enhance productivity.  
Our office is located in a premium location at Cairo Festival City CFC, providing a comfortable and modern workspace.  
In terms of compensation, we offer competitive salaries in either USD or SAR, Medical, Social Insurance, and Transportation Allowance. 
Job Description: 
Take part in designing, building, and maintaining our online platforms.
Tackle new challenges in different system areas (architecture, data handling, caching, performance tuning).
Contribute to the Frontend team roadmap and follow up on its progress.
Take ownership of new features and modules: study them, split them into tasks, and work with other teammates.
Develop new user-facing features.
Build reusable code and libraries for future use.
Remove the errors and bugs in the applications and make them better for the user.
Do other job related tasks as required
 ","3+ years of experience. 
Bachelor’s degree in Computer science, or Computer Engineering or any relevant field is preferred.
Very Good command of the English language.
Very good Interpersonal skills, written, and verbal communication skills.
Familiarity using Vue.js, Next.js and React JS ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
CyberX,Laravel Developer,17/10/2023,Full Time,Open,Egypt,Cairo,null,3,null,null,null,Bachelor's Degree,Experienced (Non-Manager),"Design and build advanced applications for our platforms
Collaborate with cross-functional teams to define, design, and ship new features
Work with outside data sources and APIs
Unit-test code for robustness, including edge cases, usability, and general reliability
Work on bug fixing and improving application performance
Continuously discover, evaluate, and implement new technologies to maximize development efficiency","Technical Skills:
1. Laravel Proficiency:  should have strong expertise in Laravel, including experience with Laravel's features, such as Eloquent ORM, Blade templating, and routing.
2. PHP: A solid foundation in PHP is essential, as Laravel is built on PHP.
3. Database Knowledge: Familiarity with relational databases, particularly MySQL, and the ability to work with databases within the Laravel framework.
4. Front-End Skills: Understanding of front-end technologies like HTML, CSS, and JavaScript is often required, as  often work on the full stack.
5. API Development: Experience in building and consuming RESTful APIs, as Laravel is often used for API development.
6. Version Control: Proficiency in version control systems, such as Git.
7. Testing: Knowledge of testing in Laravel using tools like PHPUnit.
8. Security: Awareness of web security best practices, including protecting against common web vulnerabilities.
9. Server Management: Understanding of server configurations, deployment, and hosting environments.
10. Third-Party Packages: Familiarity with integrating and using third-party packages and libraries within Laravel applications.
Frameworks and Tools:
11. Composer: Proficiency with Composer, a PHP package manager used in Laravel development.
12. Front-End Frameworks: Depending on your project needs, experience with front-end frameworks like Vue.js or React can be beneficial.
Non-Technical Skills and Qualities:
13. Problem-Solving Skills:  should be effective problem solvers, able to troubleshoot and debug issues.
14. Project Management: The ability to work within a team and manage projects efficiently is crucial.
15. Communication: Good communication skills for collaboration with team members, stakeholders, and clients.
16. Documentation: The ability to document code and processes for knowledge sharing and future reference.
17. Adaptability: The tech industry evolves rapidly, so candidates should be open to learning new technologies and best practices.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
CyberX,Flutter developer,17/10/2023,Full Time,Open,Egypt,Cairo,null,3,null,null,null,Bachelor's Degree,Experienced (Non-Manager),"Design and build advanced applications for our platforms.
Collaborate with cross-functional teams to define, design, and ship new features.
Work with outside data sources and APIs
Unit-test code for robustness, including edge cases, usability, and general reliability
Work on bug fixing and improving application performance
Continuously discover, evaluate, and implement new technologies to maximize development efficiency","Technical Skills:
1. Flutter Proficiency: Look for candidates with a strong understanding of Flutter, including widget development and state management using libraries like Provider or Bloc.
2. Dart Programming Language: Flutter uses Dart, so a developer should be proficient in Dart and its features.
3. Mobile App Development: Familiarity with mobile app development principles for both iOS and Android platforms.
4. UI/UX Design: An understanding of mobile app design and the ability to implement responsive and visually appealing user interfaces.
5. API Integration: Experience in integrating APIs and working with data sources to retrieve and display information in the app.
6. Version Control: Proficiency with version control systems, particularly Git.
7. Testing: Knowledge of testing in Flutter using tools like Flutter Testing Framework or widget testing.
8. Dependency Management: Experience with Dart's package manager, pub, and managing dependencies in Flutter projects.
Non-Technical Skills and Qualities:
9. Problem-Solving Skills: Flutter developers should be effective problem solvers, able to debug issues and optimize app performance.
10. Communication Skills: Strong communication skills are essential for collaborating with design teams, back-end developers, and project stakeholders.
11. Adaptability: The tech industry evolves rapidly, so candidates should be open to learning new technologies and best practices.
12. Portfolio: Review the candidate's portfolio to assess the quality and complexity of past Flutter projects.
13. Teamwork and Collaboration: Consider the candidate's ability to work effectively within a team.
14. Project Management: is a plus.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
CyberX,Vue.JS Frontend Developer,17/10/2023,Full Time,Open,Egypt,Cairo,null,3,null,null,null,Bachelor's Degree,Experienced (Non-Manager),"Use markup languages to create user-friendly web pages
Maintain and improve our solutions
Optimize applications for maximum speed
Design mobile-based features
Collaborate with back-end developers and web designers to improve usability
Get feedback from, and build solutions for, users and customers
Write functional requirement documents and guides
Create quality mockups and prototypes
Help back-end developers with coding and troubleshooting
Ensure high quality graphic standards and brand consistency
Stay up-to-date on emerging technologies","1.Technical Skills
• HTML/CSS: Strong proficiency in HTML and CSS is fundamental for front-end development.
• Deep understanding of JavaScript/TypeScript with latest versions (ES6)
• Responsive Design: Understanding responsive web design principles ensures websites work well on various devices and screen sizes.
• Cross-Browser Compatibility: Knowledge of ensuring web applications function consistently across different browsers.
• Version Control/Git: Familiarity with version control systems, particularly Git.
• Front-End Tools: Proficiency with front-end development tools and build systems like Webpack, Babel, or Gulp.
• Performance Optimization: Knowledge of optimizing front-end performance, including minification, lazy loading, and other techniques.
• Testing/Debugging: Ability to perform front-end testing and debugging, using tools like Chrome DevTools.
2. Frameworks and Libraries:
• Require experience with specific front-end frameworks or libraries (Vue.js, NuxtJS).
• Familiar with usage of APIs (REST, SOAP, JSON)
• Familiar with design frameworks such as Bootstrap, tailwind, etc.
• Familiar with usage of Dashboards like (Vuexy, Metronic, AdminLTE).
3. Coding Standards and Best Practices: - follow coding standards and best practices, write clean and maintainable code, and be aware of security considerations.
4. User Experience (UX) and Design Skills: - should have a basic understanding of UX principles and be able to work closely with designers to bring their vision to life.
5. Communication Skills: - Good communication skills are crucial for collaborating with other team members, including designers, back-end developers, and project managers.
6. Problem-Solving Skills: - Front-end developers often encounter challenging technical issues that require problem-solving skills.
7. Teamwork and Collaboration: - ability to work effectively within a team, as front-end developers often collaborate with designers, back-end developers, and other stakeholders.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Softec Technologies,Senior iOS and Flutter Developer,17/10/2023,Full Time,Open,Egypt,Cairo,Maadi,5,8,null,null,null,Experienced (Non-Manager),"Develop and maintain mobile applications for iOS and Android devices using the Flutter framework.
Develop and maintain native iOS applications.
Architect, design, and implement business required functionalities.
Ensure the performance, quality, and responsiveness of applications.
Collaborate with other developers, designers, and product managers to deliver high-quality products.
Mentor and provide guidance to junior developers on the team.
Conducts code reviews and provides mentorship, sharing knowledge with team members to maintain high code quality standards.
Contribute to the continuous improvement of our mobile development processes.
Implement best practices for software development, including unit testing, code review, and continuous integration.","At least 5 years of experience in developing iOS Native and Flutter applications.
Excellent understanding of OOP concepts.
Strong knowledge of the Swift, Objective C and Dart programming languages.
Experience with iOS and Flutter SDKs and frameworks.
Solid understanding of mobile application design patterns.
Solid understanding of the full mobile development life-cycle.
Solid understanding of mobile UI/UX principles and best practices.
Experience with RESTful APIs and JSON, to connect applications to back-end services.
Experience with offline storage, threading, and performance tuning.
Proficient understanding of code versioning tools.
Excellent problem-solving and analytical skills.
Experience in the publishing process of applications on the App Store.
Write clean and efficient code, conduct code reviews, and refactor existing code to improve reliability and scalability.
Good communication skills, verbal and written.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nahdet Misr Publishing Group,IT Admin,17/10/2023,Full Time,Closed,Egypt,Giza,null,3,5,null,null,null,Experienced (Non-Manager),"IT Admin  will provide administrative support and assist in the smooth operation of the IT systems and processes. The ideal candidate should have strong organizational skills, excellent attention to detail, and a basic understanding of IT concepts and systems.
Help manage IT-related procurement, including processing purchase orders, tracking deliveries, and maintaining vendor relationships.
Monitor and maintain inventory of IT equipment and supplies, ensuring availability and proper allocation.
Researching and selecting hardware, software, and other IT equipment based on organizational needs, tracking equipment, and ensuring timely replenishment of IT supplies.
IT administrative support often involves liaising with external vendors and service providers. This includes managing vendor relationships, coordinating service contracts, and resolving issues related to software licenses, warranties, and maintenance.
 ","Proven experience in administrative support roles, preferably in an IT or technical environment.
Basic understanding of IT concepts, systems, and terminology.
Proficient computer skills, including MS Office Suite (Word, Excel, Outlook).
Strong communication and interpersonal skills, with the ability to collaborate effectively with team members and end-users.
Familiarity with IT procurement processes and vendor management is a plus.
 3+ Years of experience ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
qTech. ,Team Leader Software Tester / Quality Control Engineer,17/10/2023,Full Time,Open,Egypt,Dakahlia,Mansoura,5,null,null,null,Bachelor's Degree,Experienced (Non-Manager),"Job Summary:
As the Software Quality Control Team Leader, you will be responsible for leading and managing a team of quality control engineers to ensure the delivery of high-quality software products. Your primary focus will be on planning, implementing, and executing quality control processes and procedures throughout the software development lifecycle.
Responsibilities:
Lead the Quality Control team and coordinate their daily activities to ensure optimum planning of resources and a fully-motivated, competent workforce
Using the software as intended to analyze its functional properties.
Designing test procedures to evaluate each software product.
Running test programs to ensure that testing protocols evaluate the software correctly.
Tweaking the software testing systems for maximum performance.
Finalizing and documenting testing procedures.
Completing final tests and creating test reports.
Presenting test reports to management and suggesting software fixes.
Reporting and documenting technical issues.
Review and analyze system specifications.
Execute test cases (manual or automated) and analyze results.
Evaluate product code according to specifications.
Report bugs and errors to development teams.
Conduct post-release/ post-implementation testing.
Work with cross-functional teams to ensure quality throughout the software development life-cycle.","Bachelor’s degree in any field, computer science, mathematics or engineering preferred
5+ years of related experience in Software Testing/QC
ISTQB (CTAL, CTEL) – SCRUM is a plus
Experience with test automation and performance tools
Very good leadership and communication skills
Commercial awareness and analytical skills
Accuracy and attention to detail
Time and stress management skills
Strong problem-solving and analytical skills, with attention to detail.
Adaptability and flexibility",,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGG information technology,Software Engineer,17/10/2023,Full Time,Open,Egypt,Cairo,Nasr City,2,3,null,null,Bachelor's Degree,Experienced (Non-Manager),"Execute the entire software development life cycle (SDLC)
Develop flowcharts, layouts, and documentation to identify requirements and solutions
Write well-designed, testable code
Produce specifications and determine operational feasibility
Good Experience in Integration software components into a fully functional software system
Good knowledge of E-commerce web application system
Develop software verification plans and quality assurance procedures
Document and maintain software functionality
Troubleshoot, debug, and upgrade existing systems
Deploy programs and evaluate user feedback
Comply with project plans and industry standards
Ensure software is updated with the latest features","Proven work experience as a Software Engineer or Software Developer within (2 to 3 years)
Experience designing interactive applications and a strong understanding of OOP, Design Patterns, and SOLID principles.
Experience with .Net, .Net Core, EF, LINQ, and Web APIs/RESTful APIs and C# technologies
Excellent knowledge of relational databases, MS SQL, MySQL, Oracle, and ORM technologies.
Good knowledge of front-end languages (e.g., HTML, JavaScript, CSS, and jQuery) is a must. And good knowledge of the MVC model.
Experience with version controls like GIT and TFS 
Experience with test-driven development
Proficiency in software engineering tools
Excellent analytical and time management skills
Teamwork skills with a problem-solving attitude
Ability to document requirements and specifications.
BSc degree in Computer Science, Engineering, or a relevant field",,,,,,,,,,,,,,,,,,,,,,,,,,,,
waffarha.com,Sr. Devops Engineer,17/10/2023,Full Time,Open,Egypt,Cairo,Downtown,3,5,null,null,Bachelor's Degree,Experienced (Non-Manager),"Work objective
The Senior DevOps Engineer will play a central role within our technology department. They will assume ownership and accountability for designing, guiding, and executing cloud infrastructure solutions. Their primary objectives include automating deployment procedures to reduce reliance on manual interventions, monitoring system health, setting up alerts, and effectively resolving any system issues that may arise. Furthermore, they will collaborate with development teams to assist in prototyping, constructing, and managing both current and upcoming services prior to their deployment.
Responsibilities
● Crafting cloud-based network and infrastructure architectures.
● Deploying diverse development, testing, and automation tools alongside IT infrastructure.
● Administering core systems, overseeing monitoring, and maintaining operational services.
● Strategizing, coordinating, and executing security measures to safeguard data and software.
● Collaborating on the development and testing of novel systems and solutions.
● Investigating, diagnosing, and resolving software and application issues, in collaboration with both local and global teams.
● Independently working on project deliverables when necessary.
● Orchestrating software and system installations while keeping meticulous software license records. ● Planning and executing scheduled maintenance upgrades.
● Managing backups and overseeing disaster recovery operations.
● Offering recommendations for system enhancement and performance optimization.
● Modifying existing software to rectify errors, adapt to new hardware, and enhance interfaces for improved performance.
● Preparing reports and correspondence related to project specifications and activities.
● Actively participating in various projects and system-related activities.
 ","● Bachelor's or Master's degree in Computer & Communication Engineering, IT, Computer Science, or a related field.
● A minimum of 2 to 5 years of hands-on experience in Linux/Unix administration, command-line usage, and scripting.
● A total of 3 years of experience, with 2+ years of practical involvement in DevOps implementation and Cloud Computing, encompassing Development and Systems Administration (AWS, Azure, VMware, Google Cloud).
● Proficiency of 2 to 5 years in virtualization technologies, including Docker, VMware, Kubernetes, etc.
● Competence with Terraform.
● Proficiency in writing scripts and YAML.
● Hands-on experience in constructing automation and continuous integration/delivery ecosystems.
● Solid understanding of CI/CD tools (GIT, Jenkins, etc.).
● Expertise in orchestrating infrastructure and software deployments using Ansible or similar platforms.
● Extensive practical experience in architecting and supporting best practices within a cloud environment, particularly in network administration and cybersecurity (Amazon AWS/Azure Cloud).
● Proficiency in configuring and managing databases such as MySQL, MariaDB, and PostgreSQL.
● Skill in documenting processes and monitoring performance metrics.
● Awareness of key concepts in DevOps and Agile principles.
● Expert familiarity with programming languages such as NodeJS, Javascript, PHP, Python, and MYSQL.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
3D Diagnostix,Technical Support Agent (Fluent English Speaker),17/10/2023,Full Time,Open,Egypt,Cairo,Maadi,1,null,11000,12500,Bachelor's Degree,Entry Level (Junior Level / Fresh Grad),"What we're looking for is a tech-savvy who is knowledgeable about computer systems and software applications and must be a Fluent English Speaker as he/she will be supporting our American clients.
Responsibilities : 
Identifying hardware and software solutions.
Troubleshooting technical and network issues.
Installing and configuring hardware and software.
Speaking to clients to pinpoint the issue and quickly resolve it.
Guiding clients through a series of actions to resolve a problem or first-time setup.
Following up with clients to ensure the problem is resolved.
Managing multiple tasks at one time.
Document technical knowledge in the form of internal databases and manuals.","Degree in computer science or information technology.
Excellent interpersonal skills in person and over the phone.
Excellent English is written and spoken.
Ability to work in the US working Conditions (from 5 pm: 2 am, Saturdays and Sundays are off days)
Certification in Microsoft is a plus.
Prior experience in tech support, desktop support, or a similar role.
Extensive experience working with Windows and Mac OS
Experience with remote desktop applications and help desk software.
Attention to detail and good problem-solving skills.
Ability to research, diagnose, troubleshoot and identify solutions to resolve issues
Ability to diagnose and troubleshoot basic technical issues
Ability to provide step-by-step technical help, both written and verbal.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Art Link,Senior Backend Developer,17/10/2023,Full Time,Open,Egypt,Alexandria,Smouha,4,7,null,null,null,Experienced (Non-Manager),"Build effective, testable and reusable PHP modules.
Integration of user-facing elements developed by front-end developers
Solve complex performance problems and architectural challenges
 ","Strong knowledge of programming in PHP object oriented language.
Strong knowledge of web php frameworks [such as Laravel, Symfony, etc]
Create database models that represent and support business processes
Experience in background roles or full software development
Understand MVC design patterns
Understanding access and security compliance
Good knowledge of front-end technologies, such as JavaScript, HTML5 and CSS3
Good knowledge of version control system tools, such as Git.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Sewedy Education - The Knowledge Hub Universities,Senior Application Support Officer,17/10/2023,Full Time,Open,Egypt,Cairo,New Capital,2,5,null,null,null,Entry Level (Junior Level / Fresh Grad),"Accountable for the organization’s applications start to end process 
Collaborate with a team of IT professionals to set specifications for new applications
Write high quality source code to program complete applications within deadlines
Troubleshoot and debug applications' problems
Evaluate existing applications to reprogram, update and add new features
Develop technical documents and handbooks to accurately represent application design and code
Responsible for ticketed query system and ensures comprehensive database of queries and resolutions is kept up to date. 
Provide technical support to different stakeholder within the organization. 
Assist in providing technical trainings for staff and faculty. 
Provide support to students for accessing and using their systems. 
Design and create reports and dashboards. 
Responsible for the documentation process by maintaining and updating technical documents and procedures.
Assist with systems integrations. 
Assist in implementing new solutions according to business needs.
Liaise with the vendors & other IT functions for problem resolution.
Assist in designing new projects according to business needs.  
Align and test new projects with the vendors.
Maintain security, backup, and redundancy strategies. 
Ensure compliance with IT policies & procedures. ","Basic Requirements:
BSc/BA in BIS, MIS or CS any relevant education background.
Proven 2 to 5 years of experience in application support.
Technical requirements:
MS SQL background.
Posses a good understanding of HTML.
PHP background is a plus.
Possess high level of testing techniques and scenarios.
Ability to program in at least one programming language such as C#, Java (J2EE) etc.
Experience in Education industry is preferred.
Skills & Competencies:
A team player with excellent communication skills
Analytical thinking and problem-solving capability
Great attention to detail and time-management skills",,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Alsson British & American International School,IT Help Desk,17/10/2023,Full Time,Open,Egypt,Giza,6th of October,3,5,null,null,null,Experienced (Non-Manager),"IT Help Desk role is to provide fast and effective support to our clients (teachers, students and Administration Staff). You will be required to respond to queries in person and over the phone. You may also be required to provide basic computer training, modify hardware systems, install computer peripherals, and perform basic computer maintenance.
Responsible for all devices in their area, like Pcs, laptops, IPads, tablets, desktop phones, projectors, speakers, screens, printers, Wi-Fi and surveillance cameras.
 Responsible for checking, reviewing and maintaining all equipment’s and systems to be up to date, functioning well and avoid any maintenance issue to take place.
Responsible for fixing and arranging cables, connectivity and the IT rack room in terms of equipment’s.
Support teachers and students and administration staff as per the request received from the IT ticketing system or from IT team leader. 
Support teachers and administration staff in how to use some systems, software, programs and applications as requested. 
Monitoring and respond quickly and effectively to requests received through the IT ticketing system.
Installing, testing and configure new workstations, equipment and software
Supporting the IT team in other areas if necessary and requested, especially in peak times like preparation for school entrance, technical issue, etc.","Bachelor Degree in Information Technology and equivalent.
Good command of spoken and written English Language.
Excellent Information Technology Skills (Installing Hardware / Software, Troubleshoot).
Personal Skills: (Communication, Flexibility, Ability to work under pressure)
Technical Skills: (Problem Solving, Organizing, Multi-tasking, Reporting) ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
